                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.1803,                 2.4786,                      0,                0.81448,                 1.4395,                0.98289,                      1,                  0.995,                   0.47,                0.78568,                    0.8,                0.68127,                0.17837,                  1.761,                 3.1322,                      0,                0.90292,                 2.0787,              0.0011882,              0.0011882,              0.0011882
                     85,                   1.02,                 2.5382,                      0,                0.64139,                 1.2806,                 0.9661,                      1,                  0.995,                0.51633,                 0.9661,                      1,                  0.995,                0.15693,                 1.8187,                 3.0527,                      0,                0.95467,                 2.2043,              0.0011783,              0.0011783,              0.0011783
                     86,                0.98568,                 2.1037,                      0,                0.68634,                 1.2832,                 0.9625,                      1,                  0.995,                0.47316,                0.76867,                    0.8,                0.68177,                0.13531,                 1.8307,                 2.9924,                      0,                0.95189,                 2.3298,              0.0011684,              0.0011684,              0.0011684
                     87,                0.96885,                 2.1527,                      0,                0.65287,                 1.2669,                0.96378,                      1,                  0.995,                0.46756,                 0.7704,                    0.8,                0.68136,                 0.1924,                 1.7684,                 2.8815,                      0,                0.86222,                 2.2334,              0.0011585,              0.0011585,              0.0011585
                     88,                0.97567,                 2.3867,                      0,                0.67396,                 1.2934,                0.94841,                      1,                  0.995,                0.56786,                0.94841,                      1,                  0.995,                0.35073,                 1.6805,                 2.5888,                      0,                0.73924,                 1.9799,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.0957,                 2.4302,                      0,                0.74403,                  1.391,                0.98599,                      1,                  0.995,                0.57687,                0.98599,                      1,                  0.995,                0.39653,                 1.6557,                 2.4971,                      0,                0.65872,                 1.9349,              0.0011387,              0.0011387,              0.0011387
                     90,                0.99969,                 2.4617,                      0,                0.69879,                 1.3646,                0.98642,                      1,                  0.995,                0.57067,                0.98642,                      1,                  0.995,                0.38523,                 1.6697,                 2.4806,                      0,                0.74789,                 1.9369,              0.0011288,              0.0011288,              0.0011288
                     91,                0.93147,                 2.2531,                      0,                0.67224,                 1.2605,                 0.9853,                      1,                  0.995,                0.50021,                 0.9853,                      1,                  0.995,                0.38243,                 1.7425,                 2.5232,                      0,                0.77967,                  2.018,              0.0011189,              0.0011189,              0.0011189
                     92,                0.98475,                 2.3383,                      0,                0.66963,                 1.2731,                0.98844,                      1,                  0.995,                0.42873,                0.98844,                      1,                  0.995,                0.22885,                 1.6582,                 3.0541,                      0,                0.94409,                 2.0254,               0.001109,               0.001109,               0.001109
                     93,                 1.0146,                 2.3744,                      0,                0.69915,                 1.3082,                0.99015,                      1,                  0.995,                0.41388,                0.79064,                    0.8,                0.63826,                0.12377,                 1.5431,                 3.4694,                      0,                0.93315,                   1.89,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.0207,                 2.2702,                      0,                0.78929,                 1.3436,                 0.9904,                      1,                  0.995,                0.49563,                0.59184,                    0.6,                0.36084,                0.09423,                  1.477,                 3.5124,                      0,                0.89049,                 1.8073,              0.0010892,              0.0010892,              0.0010892
                     95,                0.92242,                 2.1978,                      0,                0.66359,                 1.2738,                0.99259,                      1,                  0.995,                0.54241,                0.99259,                      1,                  0.995,                0.18452,                 1.4081,                 3.1321,                      0,                0.85324,                 1.7093,              0.0010793,              0.0010793,              0.0010793
                     96,                0.95888,                  2.422,                      0,                0.70813,                 1.2796,                0.98728,                      1,                  0.995,                0.60436,                0.98728,                      1,                  0.995,                0.27187,                 1.3759,                 2.6822,                      0,                0.71666,                 1.5932,              0.0010694,              0.0010694,              0.0010694
                     97,                 0.9046,                 2.1459,                      0,                0.63247,                 1.3014,                 0.8229,                      1,                0.96167,                0.62072,                 0.8229,                      1,                0.96167,                0.21528,                 1.4287,                 2.6696,                      0,                0.62078,                 1.6468,              0.0010595,              0.0010595,              0.0010595
                     98,                0.93135,                 2.0574,                      0,                0.65124,                 1.2337,                      1,                0.99517,                  0.995,                0.60293,                      1,                0.99517,                  0.995,                0.24172,                   1.47,                  2.647,                      0,                 0.6303,                 1.6933,              0.0010496,              0.0010496,              0.0010496
                     99,                0.89147,                 2.2658,                      0,                 0.6461,                 1.2135,                0.96311,                      1,                  0.995,                   0.62,                0.96311,                      1,                  0.995,                0.26569,                 1.4532,                  2.684,                      0,                0.66415,                 1.7227,              0.0010397,              0.0010397,              0.0010397
